ID,Protein Name,host.sim,deg.sim,GO ID,GO Terms,Domain ID,Domain Name,domain.sim,Druggable,Predict Score
tr|B8XER3|B8XER3_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XER4|B8XER4_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XES1|B8XES1_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XES3|B8XES3_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XES4|B8XES4_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XES5|B8XES5_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XES6|B8XES6_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XES8|B8XES8_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XET0|B8XET0_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEU5|B8XEU5_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEU6|B8XEU6_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEU7|B8XEU7_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEV1|B8XEV1_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEW0|B8XEW0_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEW1|B8XEW1_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEW2|B8XEW2_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEW3|B8XEW3_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEW9|B8XEW9_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XEX1|B8XEX1_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|C8TE04|C8TE04_EIMTE,Aurora kinase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|E3VWM6|E3VWM6_EIMTE,Glyceraldehyde-3-phosphate dehydrogenase,0.0,72.1,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (molecular_function)",PF02800.23;PF00044.27,Gp_dh_C;Gp_dh_N,0.0,Positive,0.9299135556485204
tr|E3WDG7|E3WDG7_EIMTE,Cytochrome c oxidase subunit 1,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B987|H9B987_EIMTE,Methionine aminopeptidase 2,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9C2|H9B9C2_EIMTE,ATPase ASNA1 homolog,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9Y8|H9B9Y8_EIMTE,Inosine-5'-monophosphate dehydrogenase,0.0,52.9,GO:0003824,catalytic activity (molecular_function),PF00478.28;PF01070.21;PF01070.21;PF03060.18;PF03060.18;PF00571.31;PF00571.31;PF00977.24;PF00977.24;PF05690.17;PF05690.17;PF04131.17;PF04131.17,IMPDH;FMN_dh;FMN_dh;NMO;NMO;CBS;CBS;His_biosynth;His_biosynth;ThiG;ThiG;NanE;NanE,0.0,Positive,0.9654187389775936
tr|H9BA37|H9BA37_EIMTE,"Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial",0.0,59.8,GO:0003824,catalytic activity (molecular_function),PF02629.22;PF00549.22;PF13607.9;PF13607.9;PF13380.9;PF13380.9;PF13380.9,CoA_binding;Ligase_CoA;Succ_CoA_lig;Succ_CoA_lig;CoA_binding_2;CoA_binding_2;CoA_binding_2,0.0,Negative,0.0700122411701069
sp|O43980|M1PAS_EIMTE,Mannitol-1-phosphatase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
sp|O44006|KPYK_EIMTE,Pyruvate kinase,0.0,65.0,GO:0006096,glycolytic process (biological_process),PF00224.24;PF02887.19,PK;PK_C,0.0,Positive,0.9869456533689172
sp|P15714|LP61_EIMTE,Antigen LPMC-61 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
sp|Q27380|TBB_EIMTE,Tubulin beta chain,90.2,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
sp|Q6QNL9|KC1_EIMTE,Casein kinase I,0.0,77.3,GO:0004672;GO:0005524,protein kinase activity (molecular_function);ATP binding (molecular_function),PF00069.28;PF07714.20;PF17667.4,Pkinase;PK_Tyr_Ser-Thr;Pkinase_fungal,0.0,Positive,0.9880784471738676
sp|Q7YN57|RPOB_EIMTE,DNA-directed RNA polymerase subunit beta,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
sp|Q8T7J8|H4_EIMTE,Histone H4,93.2,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
sp|Q967Y7|RLA0_EIMTE,Large ribosomal subunit protein uL10,0.0,56.9,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
sp|Q967Y8|ENO_EIMTE,Enolase,0.0,71.2,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KGY0|U6KGY0_EIMTE,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.0,66.9,GO:0016491,oxidoreductase activity (molecular_function),PF00890.27;PF02910.23;PF01266.27;PF01946.20;PF01946.20;PF07992.17;PF01494.22,FAD_binding_2;Succ_DH_flav_C;DAO;Thi4;Thi4;Pyr_redox_2;FAD_binding_3,0.0,Positive,0.633166314287405
tr|U6KLW3|U6KLW3_EIMTE,DNA polymerase epsilon catalytic subunit,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KM68|U6KM68_EIMTE,DNA polymerase epsilon catalytic subunit,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KPA3|U6KPA3_EIMTE,Alkylglycerone-phosphate synthase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KPU7|U6KPU7_EIMTE,DNA replication licensing factor MCM6,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KT40|U6KT40_EIMTE,Inosine-5'-monophosphate dehydrogenase,0.0,53.7,GO:0003824,catalytic activity (molecular_function),PF00478.28;PF00571.31;PF00571.31;PF01070.21;PF01070.21;PF03060.18;PF03060.18;PF03060.18;PF00977.24;PF05690.17;PF05690.17;PF04131.17;PF04131.17,IMPDH;CBS;CBS;FMN_dh;FMN_dh;NMO;NMO;NMO;His_biosynth;ThiG;ThiG;NanE;NanE,0.0,Positive,0.9612283340873377
tr|U6KTF5|U6KTF5_EIMTE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KU84|U6KU84_EIMTE,Bifunctional dihydrofolate reductase-thymidylate synthase,0.0,62.7,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KVL5|U6KVL5_EIMTE,Alkylglycerone-phosphate synthase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KWN9|U6KWN9_EIMTE,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.0,55.3,GO:0009055,electron transfer activity (molecular_function),PF13085.9;PF13534.9;PF13534.9;PF13183.9;PF13183.9;PF13183.9;PF13237.9;PF13237.9;PF00111.30;PF00111.30;PF12838.10;PF12838.10,Fer2_3;Fer4_17;Fer4_17;Fer4_8;Fer4_8;Fer4_8;Fer4_10;Fer4_10;Fer2;Fer2;Fer4_7;Fer4_7,0.0,Negative,0.0537190229355546
tr|U6KX04|U6KX04_EIMTE,Ribokinase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KXP1|U6KXP1_EIMTE,DNA-directed RNA polymerase subunit beta,0.0,60.0,GO:0003677,DNA binding (molecular_function),PF00562.31;PF04563.18;PF04561.17;PF04560.23;PF04565.19;PF04566.16;PF04567.20,RNA_pol_Rpb2_6;RNA_pol_Rpb2_1;RNA_pol_Rpb2_2;RNA_pol_Rpb2_7;RNA_pol_Rpb2_3;RNA_pol_Rpb2_4;RNA_pol_Rpb2_5,0.0,Positive,0.982684596444569
tr|U6KYH6|U6KYH6_EIMTE,Alanine--tRNA ligase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6KZJ9|U6KZJ9_EIMTE,Probable tRNA N6-adenosine threonylcarbamoyltransferase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6L053|U6L053_EIMTE,Poly(A) polymerase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6L1Q3|U6L1Q3_EIMTE,tRNA (guanine(37)-N1)-methyltransferase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6L2W7|U6L2W7_EIMTE,Pre-mRNA-processing factor 19 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6L658|U6L658_EIMTE,mannose-6-phosphate isomerase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6L6E7|U6L6E7_EIMTE,Flap endonuclease 1,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A023ING5|A0A023ING5_EIMTE,Tubulin beta chain (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A024DAD9|A0A024DAD9_EIMTE,L-lactate dehydrogenase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A0A7H6F4|A0A0A7H6F4_EIMTE,Lipid phosphate phosphatase 1,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A172WCE4|A0A172WCE4_EIMTE,Phosphotransferase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A1L2YXQ2|A0A1L2YXQ2_EIMTE,Profilin,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A1P7YD75|A0A1P7YD75_EIMTE,Phosphodiesterase (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A1U9ILS9|A0A1U9ILS9_EIMTE,Cytochrome b,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A1U9ILU0|A0A1U9ILU0_EIMTE,Cytochrome b,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A1X9IFS2|A0A1X9IFS2_EIMTE,Cytochrome b,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A2L1GE93|A0A2L1GE93_EIMTE,Rhomboid-like protease,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A2U8UR56|A0A2U8UR56_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0T1D2|A0T1D2_EIMTE,Profilin,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|C8TDR6|C8TDR6_EIMTE,subtilisin,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|C8TDT0|C8TDT0_EIMTE,Protein kinase domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|C8TDU8|C8TDU8_EIMTE,Glucose-6-phosphate isomerase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|C8TDY4|C8TDY4_EIMTE,subtilisin,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|D1MIA1|D1MIA1_EIMTE,phosphopyruvate hydratase,0.0,71.2,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|D7P8J5|D7P8J5_EIMTE,Glucose-6-phosphate isomerase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|D7P8J6|D7P8J6_EIMTE,Glucose-6-phosphate isomerase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|E3WDG6|E3WDG6_EIMTE,Cytochrome b,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|E3WDG8|E3WDG8_EIMTE,Cytochrome c oxidase subunit 3,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|F6KBN3|F6KBN3_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|F8V414|F8V414_EIMTE,Apical membrane antigen-1,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|G3LUI0|G3LUI0_EIMTE,Rhomboid-like protease,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B8Z9|H9B8Z9_EIMTE,40S ribosomal protein SA,0.0,66.7,GO:0006412,translation (biological_process),PF00318.23;PF00318.23,Ribosomal_S2;Ribosomal_S2,0.0,Positive,0.9956362787938758
tr|H9B906|H9B906_EIMTE,U6 snRNA-associated Sm-like protein LSm8,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B910|H9B910_EIMTE,GTP-binding nuclear protein,0.0,77.3,GO:0005525,GTP binding (molecular_function),PF00071.25;PF08477.16;PF08477.16;PF00025.24;PF01926.26;PF04670.15;PF00910.25;PF03193.19;PF03193.19;PF16487.8;PF00009.30,Ras;Roc;Roc;Arf;MMR_HSR1;Gtr1_RagA;RNA_helicase;RsgA_GTPase;RsgA_GTPase;ArgoMid;GTP_EFTU,0.0,Positive,0.9846089235861404
tr|H9B913|H9B913_EIMTE,40S ribosomal protein S24,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B922|H9B922_EIMTE,40S ribosomal protein S6,0.0,57.3,GO:0006412,translation (biological_process),PF01092.22,Ribosomal_S6e,0.0,Positive,0.99477581206417
tr|H9B946|H9B946_EIMTE,60S ribosomal protein L7a,0.0,51.9,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B978|H9B978_EIMTE,Glucose-6-phosphate isomerase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B990|H9B990_EIMTE,Peptidyl-prolyl cis-trans isomerase,0.0,66.7,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B992|H9B992_EIMTE,Ribosomal protein L28,0.0,56.0,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B995|H9B995_EIMTE,ER lumen protein retaining receptor,0.0,55.6,GO:0016020,membrane (cellular_component),PF00810.21;PF00810.21,ER_lumen_recept;ER_lumen_recept,0.0,Positive,0.9516746523363128
tr|H9B999|H9B999_EIMTE,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9A9|H9B9A9_EIMTE,Phosphoglycerate kinase,0.0,63.0,GO:0006096,glycolytic process (biological_process),PF00162.22,PGK,0.0,Positive,0.9876138366620256
tr|H9B9B1|H9B9B1_EIMTE,Splicing factor U2AF subunit,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9B3|H9B9B3_EIMTE,Small nuclear ribonucleoprotein Sm D1,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9C0|H9B9C0_EIMTE,Pyridoxal phosphate homeostasis protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9C8|H9B9C8_EIMTE,peptidylprolyl isomerase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9C9|H9B9C9_EIMTE,RuvB-like helicase,0.0,60.2,GO:0005524,ATP binding (molecular_function),PF06068.16;PF17856.4;PF17856.4;PF00004.32;PF00004.32;PF05496.15;PF05496.15;PF13401.9;PF13401.9,TIP49;TIP49_C;TIP49_C;AAA;AAA;RuvB_N;RuvB_N;AAA_22;AAA_22,0.0,Positive,0.9841248979059148
tr|H9B9D7|H9B9D7_EIMTE,SKI-interacting protein SKIP SNW domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9E0|H9B9E0_EIMTE,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9E5|H9B9E5_EIMTE,50S ribosomal protein L3,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9F1|H9B9F1_EIMTE,T-complex protein 1 subunit delta,0.0,61.1,GO:0005524,ATP binding (molecular_function),PF00118.27,Cpn60_TCP1,0.0,Positive,0.8946790584128145
tr|H9B9F2|H9B9F2_EIMTE,Heat shock protein 70,0.0,81.9,GO:0005524,ATP binding (molecular_function),PF00012.23;PF06723.16;PF06723.16;PF02782.19;PF02782.19;PF01968.21;PF08841.13;PF08841.13,HSP70;MreB_Mbl;MreB_Mbl;FGGY_C;FGGY_C;Hydantoinase_A;DDR;DDR,0.0,Positive,0.9800642228714314
tr|H9B9F3|H9B9F3_EIMTE,U2 snRNP auxiliary factor small subunit,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9F9|H9B9F9_EIMTE,Cytochrome oxidase subunit II copper A binding domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9H0|H9B9H0_EIMTE,Casein kinase II subunit beta,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9H3|H9B9H3_EIMTE,Eukaryotic translation initiation factor 4a,0.0,73.4,GO:0005524,ATP binding (molecular_function),PF00270.32;PF00270.32;PF00271.34;PF00271.34;PF13604.9;PF04851.18;PF00579.28;PF14617.9;PF14617.9;PF05127.17;PF05127.17,DEAD;DEAD;Helicase_C;Helicase_C;AAA_30;ResIII;tRNA-synt_1b;CMS1;CMS1;Helicase_RecD;Helicase_RecD,0.0,Positive,0.9971363495153402
tr|H9B9H5|H9B9H5_EIMTE,Pyruvate kinase,0.0,65.0,GO:0006096,glycolytic process (biological_process),PF00224.24;PF02887.19,PK;PK_C,0.0,Positive,0.9860017146024426
tr|H9B9K1|H9B9K1_EIMTE,Vesicle transport protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9K2|H9B9K2_EIMTE,Nuclear nucleic acid-binding protein C1D,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9K7|H9B9K7_EIMTE,GPN-loop GTPase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9L6|H9B9L6_EIMTE,Signal recognition particle subunit SRP68,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9L7|H9B9L7_EIMTE,Iron-sulfur cluster assembly protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9M1|H9B9M1_EIMTE,AGC kinase,0.0,57.5,GO:0004672;GO:0005524,protein kinase activity (molecular_function);ATP binding (molecular_function),PF00069.28;PF07714.20;PF03109.19;PF03109.19;PF14531.9,Pkinase;PK_Tyr_Ser-Thr;ABC1;ABC1;Kinase-like,0.0,Positive,0.9812053159429956
tr|H9B9N0|H9B9N0_EIMTE,RNA helicase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9N1|H9B9N1_EIMTE,Ribosomal protein L7Ae/L30e/S12e/Gadd45 domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9N4|H9B9N4_EIMTE,"26S protease regulatory subunit 6a, putative",0.0,71.0,GO:0005524,ATP binding (molecular_function),PF00004.32;PF00004.32;PF16450.8;PF17862.4;PF07728.17;PF13191.9;PF13191.9;PF05496.15;PF07724.17;PF13401.9;PF13401.9;PF13671.9;PF01078.24;PF01078.24;PF01078.24,AAA;AAA;Prot_ATP_ID_OB;AAA_lid_3;AAA_5;AAA_16;AAA_16;RuvB_N;AAA_2;AAA_22;AAA_22;AAA_33;Mg_chelatase;Mg_chelatase;Mg_chelatase,0.0,Positive,0.980801535774457
tr|H9B9P0|H9B9P0_EIMTE,Transmembrane protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9P3|H9B9P3_EIMTE,Ribosome production factor 2 homolog,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9P6|H9B9P6_EIMTE,tRNA pseudouridine synthase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9Q8|H9B9Q8_EIMTE,Derlin,0.0,53.3,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9R0|H9B9R0_EIMTE,Proteasome subunit beta,0.0,53.4,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9T4|H9B9T4_EIMTE,"Nucleolar protein NOP5, putative",0.0,51.4,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9U3|H9B9U3_EIMTE,Peptidase M14 carboxypeptidase A domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9U4|H9B9U4_EIMTE,CCT-theta,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9V3|H9B9V3_EIMTE,NADH-cytochrome b5 reductase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9W0|H9B9W0_EIMTE,Protein kinase domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9W7|H9B9W7_EIMTE,diphthine methyl ester synthase,0.0,53.1,unfit,unfit,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9W9|H9B9W9_EIMTE,ER membrane protein complex subunit 7 beta-sandwich domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9X3|H9B9X3_EIMTE,THH1/TOM1/TOM3 domain-containing protein,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9Y3|H9B9Y3_EIMTE,tRNA-dihydrouridine synthase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|H9B9Z5|H9B9Z5_EIMTE,Coatomer subunit zeta,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
